Locus_Tag_Gene,Locus_Tag,Product
NLN62_RS08130,NLN62_RS08130_101103_102546,P-loop NTPase fold protein
NLN62_RS08135,NLN62_RS08135_102551_104840,hypothetical protein
NLN62_RS08140,NLN62_RS08140_104842_105598,hypothetical protein
NLN62_RS08145,NLN62_RS08145_105636_106653,integrase core domain-containing protein
NLN62_RS08150,NLN62_RS08150_106714_107458,serine O-acetyltransferase
NLN62_RS08155,NLN62_RS08155_107454_108321,ABC transporter permease subunit
NLN62_RS08160,NLN62_RS08160_108313_109177,ATP-binding cassette domain-containing protein
NLN62_RS08165,NLN62_RS08165_109173_110226,ABC transporter substrate-binding protein
NLN62_RS08170,NLN62_RS08170_110253_111179,TauD/TfdA family dioxygenase
NLN62_RS52920,NLN62_RS52920_111367_111502,hypothetical protein
NLN62_RS08175,NLN62_RS08175_111815_112355,GcrA family cell cycle regulator
NLN62_RS08180,NLN62_RS08180_112496_112892,N-acetylmuramoyl-L-alanine amidase
NLN62_RS08185,NLN62_RS08185_113093_113455,transposase
NLN62_RS08190,NLN62_RS08190_113726_114473,hypothetical protein
NLN62_RS08195,NLN62_RS08195_115134_115689,redoxin domain-containing protein
NLN62_RS08200,NLN62_RS08200_115695_116253,alkyl hydroperoxide reductase
NLN62_RS52925,NLN62_RS52925_116436_116601,DUF6088 family protein
NLN62_RS08210,NLN62_RS08210_116715_117060,hypothetical protein
NLN62_RS08215,NLN62_RS08215_117390_117837,hypothetical protein
NLN62_RS52930,NLN62_RS52930_118082_118205,hypothetical protein
NLN62_RS08220,NLN62_RS08220_118383_118600,IS110 family transposase
NLN62_RS08225,NLN62_RS08225_118793_120275,IS1182 family transposase
NLN62_RS08230,NLN62_RS08230_120357_120804,helix-turn-helix domain-containing protein
NLN62_RS08235,NLN62_RS08235_121081_121171,hypothetical protein
NLN62_RS08240,NLN62_RS08240_121343_121481,hypothetical protein
NLN62_RS08245,NLN62_RS08245_121751_122024,DUF1521 domain-containing protein
NLN62_RS08250,NLN62_RS08250_121975_122503,DUF1521 domain-containing protein
NLN62_RS08255,NLN62_RS08255_123247_123472,hypothetical protein
NLN62_RS08260,NLN62_RS08260_123811_124192,transposase
NLN62_RS08265,NLN62_RS08265_124485_124892,transposase
NLN62_RS08270,NLN62_RS08270_125027_125777,sulfotransferase
NLN62_RS08275,NLN62_RS08275_126381_126825,transcriptional regulator
NLN62_RS08280,NLN62_RS08280_127308_127704,hypothetical protein
NLN62_RS08285,NLN62_RS08285_128365_128827,IS5 family transposase
NLN62_RS08290,NLN62_RS08290_128953_129799,hypothetical protein
NLN62_RS08295,NLN62_RS08295_130000_130783,transposase
NLN62_RS08300,NLN62_RS08300_130784_131144,hypothetical protein
NLN62_RS08305,NLN62_RS08305_131180_133064,FAD-dependent oxidoreductase
NLN62_RS08310,NLN62_RS08310_134130_135141,hypothetical protein
NLN62_RS08315,NLN62_RS08315_135416_136700,HipA domain-containing protein
NLN62_RS08320,NLN62_RS08320_136686_137022,helix-turn-helix domain-containing protein
NLN62_RS08325,NLN62_RS08325_137968_139141,hypothetical protein
NLN62_RS08330,NLN62_RS08330_139574_140423,nodulate formation efficiency C protein
NLN62_RS08335,NLN62_RS08335_140522_140984,hypothetical protein
NLN62_RS08340,NLN62_RS08340_141176_141551,DUF2946 family protein
NLN62_RS08345,NLN62_RS08345_141668_142043,hypothetical protein
NLN62_RS08350,NLN62_RS08350_142206_144090,TonB-dependent receptor
NLN62_RS08355,NLN62_RS08355_144188_144368,tonB-system energizer ExbB
NLN62_RS08360,NLN62_RS08360_145263_146802,IS21 family transposase
NLN62_RS08365,NLN62_RS08365_146791_147571,IS21-like element helper ATPase IstB
NLN62_RS08370,NLN62_RS08370_147567_147789,hypothetical protein
NLN62_RS08375,NLN62_RS08375_147911_148376,tonB-system energizer ExbB
NLN62_RS08380,NLN62_RS08380_148381_148816,TonB system transport protein ExbD
NLN62_RS08385,NLN62_RS08385_148812_149532,TonB family protein
NLN62_RS08390,NLN62_RS08390_149595_149901,hypothetical protein
NLN62_RS08395,NLN62_RS08395_150146_150950,hypothetical protein
NLN62_RS08400,NLN62_RS08400_151438_151594,cyclic pyranopterin monophosphate synthase MoaC
NLN62_RS08405,NLN62_RS08405_151581_152442,nucleotidyl transferase AbiEii/AbiGii toxin family protein
NLN62_RS08410,NLN62_RS08410_152428_153265,type IV toxin-antitoxin system AbiEi family antitoxin domain-containing protein
NLN62_RS08415,NLN62_RS08415_153531_153804,hypothetical protein
NLN62_RS08420,NLN62_RS08420_153915_154452,hypothetical protein
NLN62_RS08425,NLN62_RS08425_155155_156112,hypothetical protein
NLN62_RS08430,NLN62_RS08430_156354_156780,hypothetical protein
NLN62_RS08435,NLN62_RS08435_156798_158562,tetratricopeptide repeat protein
NLN62_RS08440,NLN62_RS08440_161723_162500,nodulate formation efficiency C protein
NLN62_RS08445,NLN62_RS08445_163320_164685,trehalose-6-phosphate synthase
NLN62_RS08450,NLN62_RS08450_165658_166219,avidin/streptavidin family protein
NLN62_RS08455,NLN62_RS08455_167100_167466,site-specific integrase
NLN62_RS08460,NLN62_RS08460_167408_167765,hypothetical protein
NLN62_RS08465,NLN62_RS08465_168978_170184,hypothetical protein
NLN62_RS08470,NLN62_RS08470_170717_171602,tyrosine-type recombinase/integrase
NLN62_RS08475,NLN62_RS08475_171613_172819,IS91 family transposase
NLN62_RS08480,NLN62_RS08480_172815_173052,hypothetical protein
NLN62_RS08485,NLN62_RS08485_173133_173529,hypothetical protein
NLN62_RS08490,NLN62_RS08490_174044_174806,SprT-like domain-containing protein
NLN62_RS08495,NLN62_RS08495_174925_176431,DUF4407 domain-containing protein
NLN62_RS08500,NLN62_RS08500_176446_176920,hypothetical protein
NLN62_RS08505,NLN62_RS08505_177150_177426,hypothetical protein
NLN62_RS08510,NLN62_RS08510_177485_177806,hypothetical protein
NLN62_RS08515,NLN62_RS08515_177720_178233,hypothetical protein
NLN62_RS08520,NLN62_RS08520_178697_178841,hypothetical protein
NLN62_RS08525,NLN62_RS08525_178975_179197,hypothetical protein
NLN62_RS08530,NLN62_RS08530_179662_180235,hypothetical protein
NLN62_RS08535,NLN62_RS08535_180460_181265,IS5 family transposase
NLN62_RS08540,NLN62_RS08540_181592_181865,hypothetical protein
NLN62_RS08545,NLN62_RS08545_182142_182901,IS1380 family transposase
NLN62_RS08550,NLN62_RS08550_182942_183242,IS3 family transposase
NLN62_RS08555,NLN62_RS08555_183400_183676,transposase
NLN62_RS08560,NLN62_RS08560_183999_184329,prolyl oligopeptidase family serine peptidase
NLN62_RS08565,NLN62_RS08565_185153_185912,acetoacetate decarboxylase family protein
NLN62_RS08570,NLN62_RS08570_186175_186514,hypothetical protein
NLN62_RS08575,NLN62_RS08575_186666_187428,glucose 1-dehydrogenase
NLN62_RS08580,NLN62_RS08580_187465_189220,oleate hydratase
NLN62_RS08585,NLN62_RS08585_191029_191289,IS701 family transposase
NLN62_RS08590,NLN62_RS08590_191790_192060,hypothetical protein
NLN62_RS08595,NLN62_RS08595_192196_192481,helix-turn-helix domain-containing protein
NLN62_RS08600,NLN62_RS08600_192585_192762,transposase
NLN62_RS08605,NLN62_RS08605_192945_193242,IS66 family insertion sequence element accessory protein TnpB
NLN62_RS08610,NLN62_RS08610_193599_195687,recombinase family protein
NLN62_RS08615,NLN62_RS08615_195829_197185,IS66 family transposase
NLN62_RS08620,NLN62_RS08620_197349_198678,group II intron reverse transcriptase/maturase
NLN62_RS08625,NLN62_RS08625_199189_199399,transposase domain-containing protein
NLN62_RS08630,NLN62_RS08630_199756_200380,hypothetical protein
NLN62_RS08635,NLN62_RS08635_200376_201108,nodulate formation efficiency C protein
NLN62_RS08640,NLN62_RS08640_203023_203314,sugar transferase
NLN62_RS08645,NLN62_RS08645_203223_203610,sugar transferase
NLN62_RS08650,NLN62_RS08650_204066_204393,hypothetical protein
NLN62_RS08655,NLN62_RS08655_204584_205361,outer membrane beta-barrel protein
NLN62_RS08660,NLN62_RS08660_205684_206347,AAA family ATPase
NLN62_RS08665,NLN62_RS08665_206315_207344,hypothetical protein
NLN62_RS08670,NLN62_RS08670_208213_209815,outer membrane beta-barrel protein
NLN62_RS08675,NLN62_RS08675_210023_210200,hypothetical protein
NLN62_RS08680,NLN62_RS08680_210187_210340,hypothetical protein
NLN62_RS08685,NLN62_RS08685_210447_210600,hypothetical protein
NLN62_RS52935,NLN62_RS52935_210807_210942,hypothetical protein
NLN62_RS08690,NLN62_RS08690_211831_212077,hypothetical protein
NLN62_RS08695,NLN62_RS08695_212308_213049,mannosyltransferase
NLN62_RS08700,NLN62_RS08700_213322_213505,hypothetical protein
NLN62_RS08705,NLN62_RS08705_213709_215368,amidohydrolase family protein
NLN62_RS08710,NLN62_RS08710_215582_217235,winged helix-turn-helix domain-containing protein
NLN62_RS08715,NLN62_RS08715_217853_219662,HrpF/NolX family T3SS translocon protein
NLN62_RS08720,NLN62_RS08720_219998_220451,TIGR02391 family protein
NLN62_RS08725,NLN62_RS08725_220912_222232,hypothetical protein
NLN62_RS08730,NLN62_RS08730_222853_224020,DUF2220 family protein
NLN62_RS08735,NLN62_RS08735_224021_227459,AAA family ATPase
NLN62_RS08740,NLN62_RS08740_227458_228100,DUF4194 domain-containing protein
NLN62_RS08745,NLN62_RS08745_228089_229607,DUF5716 family protein
NLN62_RS08750,NLN62_RS08750_230163_230358,hypothetical protein
NLN62_RS08755,NLN62_RS08755_231063_231341,coproporphyrinogen III oxidase
NLN62_RS08760,NLN62_RS08760_231401_231872,hypothetical protein
NLN62_RS08765,NLN62_RS08765_232433_233156,response regulator
NLN62_RS08770,NLN62_RS08770_233350_234685,IS5 family transposase
NLN62_RS08775,NLN62_RS08775_234860_234984,NYN domain-containing protein
NLN62_RS08780,NLN62_RS08780_235219_235483,DUF3551 domain-containing protein
NLN62_RS08785,NLN62_RS08785_235982_236189,cold shock domain-containing protein
NLN62_RS08790,NLN62_RS08790_236754_237021,hypothetical protein
NLN62_RS08795,NLN62_RS08795_237137_237329,Ku protein
NLN62_RS08800,NLN62_RS08800_237474_237759,Fic family protein
NLN62_RS08805,NLN62_RS08805_238057_238351,hypothetical protein
NLN62_RS08810,NLN62_RS08810_238657_238909,helix-turn-helix domain-containing protein
NLN62_RS08815,NLN62_RS08815_238908_240225,HipA domain-containing protein
NLN62_RS08820,NLN62_RS08820_240363_240552,hypothetical protein
NLN62_RS08825,NLN62_RS08825_240578_241487,tyrosine-type recombinase/integrase
NLN62_RS08830,NLN62_RS08830_242311_243304,hypothetical protein
NLN62_RS08835,NLN62_RS08835_244069_244309,hypothetical protein
NLN62_RS08840,NLN62_RS08840_244476_244671,hypothetical protein
NLN62_RS08845,NLN62_RS08845_244946_245462,hypothetical protein
NLN62_RS08850,NLN62_RS08850_245484_246588,DUF4172 domain-containing protein
NLN62_RS08855,NLN62_RS08855_246711_247170,hypothetical protein
NLN62_RS08860,NLN62_RS08860_247233_248043,HNH endonuclease
NLN62_RS08865,NLN62_RS08865_248183_248378,hypothetical protein
NLN62_RS08870,NLN62_RS08870_248950_249331,integrase
NLN62_RS08875,NLN62_RS08875_249408_249612,alpha/beta hydrolase fold domain-containing protein
NLN62_RS08880,NLN62_RS08880_249608_250298,alpha/beta hydrolase fold domain-containing protein
NLN62_RS08885,NLN62_RS08885_250408_251509,alcohol dehydrogenase catalytic domain-containing protein
NLN62_RS08890,NLN62_RS08890_251592_253068,aldehyde dehydrogenase family protein
NLN62_RS08895,NLN62_RS08895_253458_255231,sigma 54-interacting transcriptional regulator
NLN62_RS08900,NLN62_RS08900_255697_257347,chaperonin GroEL
NLN62_RS08905,NLN62_RS08905_257438_257753,co-chaperone GroES
NLN62_RS08910,NLN62_RS08910_258834_259560,TSUP family transporter
NLN62_RS08915,NLN62_RS08915_259734_260595,xanthine dehydrogenase
NLN62_RS08920,NLN62_RS08920_260828_261182,hypothetical protein
NLN62_RS08925,NLN62_RS08925_261526_262480,methyltransferase domain-containing protein
NLN62_RS08930,NLN62_RS08930_262487_263840,radical SAM protein
NLN62_RS08935,NLN62_RS08935_264516_264729,hypothetical protein
NLN62_RS08940,NLN62_RS08940_264814_265597,extracellular solute-binding protein
NLN62_RS08945,NLN62_RS08945_265618_265864,hypothetical protein
NLN62_RS08950,NLN62_RS08950_266183_267680,aspartate ammonia-lyase
NLN62_RS08955,NLN62_RS08955_268070_269627,carbohydrate porin
NLN62_RS08960,NLN62_RS08960_270650_271580,TauD/TfdA family dioxygenase
NLN62_RS08965,NLN62_RS08965_272447_274778,5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase
NLN62_RS08970,NLN62_RS08970_275096_276419,MFS transporter
NLN62_RS08975,NLN62_RS08975_276642_277536,3-keto-5-aminohexanoate cleavage protein
NLN62_RS08980,NLN62_RS08980_277973_278897,DUF5050 domain-containing protein
NLN62_RS08985,NLN62_RS08985_279523_281974,CoA transferase
NLN62_RS08990,NLN62_RS08990_282031_283669,NAD(P)-binding domain-containing protein
NLN62_RS08995,NLN62_RS08995_284310_285387,methyltransferase
NLN62_RS09000,NLN62_RS09000_285457_286465,thiamine pyrophosphate-dependent enzyme
NLN62_RS09005,NLN62_RS09005_287139_288678,IS21 family transposase
NLN62_RS09010,NLN62_RS09010_288667_289447,IS21-like element helper ATPase IstB
NLN62_RS09015,NLN62_RS09015_289443_289665,hypothetical protein
NLN62_RS09020,NLN62_RS09020_290209_291652,phosphonoacetaldehyde dehydrogenase
NLN62_RS09025,NLN62_RS09025_291722_292487,ferredoxin--NADP reductase
NLN62_RS09030,NLN62_RS09030_293328_295270,EAL domain-containing protein
NLN62_RS09035,NLN62_RS09035_295893_296799,LysR substrate-binding domain-containing protein
NLN62_RS09040,NLN62_RS09040_297769_298942,cobalamin-independent methionine synthase II family protein
NLN62_RS09045,NLN62_RS09045_298970_299795,metallophosphoesterase
NLN62_RS09050,NLN62_RS09050_299927_301163,ABC transporter substrate-binding protein
NLN62_RS09055,NLN62_RS09055_301189_302509,ABC transporter substrate-binding protein
NLN62_RS09060,NLN62_RS09060_302586_303450,branched-chain amino acid ABC transporter permease
NLN62_RS09065,NLN62_RS09065_303454_304471,branched-chain amino acid ABC transporter permease
NLN62_RS09070,NLN62_RS09070_304467_305214,ATP-binding cassette domain-containing protein
NLN62_RS09075,NLN62_RS09075_305200_305890,ATP-binding cassette domain-containing protein
NLN62_RS09080,NLN62_RS09080_305988_306638,chloramphenicol acetyltransferase
NLN62_RS09085,NLN62_RS09085_306921_308136,hypothetical protein
NLN62_RS09090,NLN62_RS09090_308265_309174,hypothetical protein
NLN62_RS09095,NLN62_RS09095_309615_309954,hypothetical protein
NLN62_RS09100,NLN62_RS09100_310424_311108,helix-turn-helix domain-containing protein
NLN62_RS09105,NLN62_RS09105_311663_311833,branched-chain amino acid ABC transporter permease
NLN62_RS09110,NLN62_RS09110_312039_312534,GNAT family N-acetyltransferase
NLN62_RS09115,NLN62_RS09115_312490_313108,hypothetical protein
NLN62_RS09120,NLN62_RS09120_313690_314731,hydrogenase expression/formation protein HypE
NLN62_RS09125,NLN62_RS09125_314727_315870,hydrogenase formation protein HypD
NLN62_RS09130,NLN62_RS09130_315866_316103,HypC/HybG/HupF family hydrogenase formation chaperone
NLN62_RS09135,NLN62_RS09135_316102_318364,carbamoyltransferase HypF
NLN62_RS09140,NLN62_RS09140_318360_319254,hydrogenase nickel incorporation protein HypB
NLN62_RS09145,NLN62_RS09145_319253_319595,hydrogenase maturation nickel metallochaperone HypA
NLN62_RS09150,NLN62_RS09150_319587_320667,hypothetical protein
NLN62_RS09155,NLN62_RS09155_320663_321059,[NiFe]-hydrogenase assembly chaperone HybE
NLN62_RS09160,NLN62_RS09160_321153_321350,rubredoxin
NLN62_RS09165,NLN62_RS09165_321346_322198,hydrogenase expression/formation protein
NLN62_RS09170,NLN62_RS09170_322361_322643,hypothetical protein
NLN62_RS09175,NLN62_RS09175_322820_323108,HypC/HybG/HupF family hydrogenase formation chaperone
NLN62_RS09180,NLN62_RS09180_323138_323720,HyaD/HybD family hydrogenase maturation endopeptidase
NLN62_RS09185,NLN62_RS09185_323735_324473,"Ni/Fe-hydrogenase, b-type cytochrome subunit"
NLN62_RS09190,NLN62_RS09190_324488_326279,nickel-dependent hydrogenase large subunit
NLN62_RS09195,NLN62_RS09195_326301_327393,hydrogenase small subunit
NLN62_RS09200,NLN62_RS09200_328917_330243,DUF3422 family protein
NLN62_RS09205,NLN62_RS09205_331418_331904,hypothetical protein
NLN62_RS09210,NLN62_RS09210_332129_332480,hypothetical protein
NLN62_RS09215,NLN62_RS09215_332838_333132,hypothetical protein
NLN62_RS09220,NLN62_RS09220_333154_333901,methyltransferase domain-containing protein
NLN62_RS09225,NLN62_RS09225_334145_334442,ferredoxin family protein
NLN62_RS09230,NLN62_RS09230_334480_335788,FAD-dependent oxidoreductase
NLN62_RS09235,NLN62_RS09235_335784_336912,FAD-binding protein
NLN62_RS09240,NLN62_RS09240_337602_337929,nitrogenase stabilizing/protective protein NifW
NLN62_RS09245,NLN62_RS09245_338069_339248,homocitrate synthase
NLN62_RS09250,NLN62_RS09250_339386_339833,transcriptional repressor
NLN62_RS09255,NLN62_RS09255_339885_340578,nitrogen fixation protein NifQ
NLN62_RS09260,NLN62_RS09260_340678_341569,nitrogenase iron protein
NLN62_RS09265,NLN62_RS09265_341949_342328,hypothetical protein
NLN62_RS09270,NLN62_RS09270_342386_342800,arsenate reductase family protein
NLN62_RS09275,NLN62_RS09275_343524_343875,(2Fe-2S) ferredoxin domain-containing protein
NLN62_RS09280,NLN62_RS09280_344010_344265,BolA/IbaG family iron-sulfur metabolism protein
NLN62_RS09285,NLN62_RS09285_344793_345015,hypothetical protein
NLN62_RS09290,NLN62_RS09290_345011_345791,IS21-like element helper ATPase IstB
NLN62_RS09295,NLN62_RS09295_345780_347319,IS21 family transposase
NLN62_RS09300,NLN62_RS09300_348131_349268,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
NLN62_RS09305,NLN62_RS09305_349339_349609,hypothetical protein
NLN62_RS09310,NLN62_RS09310_349620_349974,hypothetical protein
NLN62_RS09315,NLN62_RS09315_349986_350226,nitrogen fixation protein NifZ
NLN62_RS09320,NLN62_RS09320_350218_350539,nitrogen fixation protein NifZ
NLN62_RS09325,NLN62_RS09325_350565_351309,LRV FeS4 cluster domain-containing protein
NLN62_RS09330,NLN62_RS09330_351301_351832,hypothetical protein
NLN62_RS09335,NLN62_RS09335_352093_352318,ferredoxin
NLN62_RS09340,NLN62_RS09340_352330_353887,nitrogenase cofactor biosynthesis protein NifB
NLN62_RS09345,NLN62_RS09345_354203_355070,SIR2 family protein
NLN62_RS09350,NLN62_RS09350_355066_355291,putative nitrogen fixation protein NifT
NLN62_RS09355,NLN62_RS09355_355287_356484,cysteine desulfurase NifS
NLN62_RS09360,NLN62_RS09360_356496_356790,NifU family protein
NLN62_RS09365,NLN62_RS09365_356830_357151,iron-sulfur cluster assembly accessory protein
NLN62_RS09370,NLN62_RS09370_357486_358077,hypothetical protein
NLN62_RS09375,NLN62_RS09375_358553_358868,hypothetical protein
NLN62_RS09380,NLN62_RS09380_359132_359417,"ferredoxin III, nif-specific"
NLN62_RS09385,NLN62_RS09385_359419_359629,hypothetical protein
NLN62_RS09390,NLN62_RS09390_359637_360108,NifX-associated nitrogen fixation protein
NLN62_RS09395,NLN62_RS09395_360119_360515,nitrogen fixation protein NifX
NLN62_RS09400,NLN62_RS09400_360537_361920,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN
NLN62_RS09405,NLN62_RS09405_361943_363611,nitrogenase iron-molybdenum cofactor biosynthesis protein NifE
NLN62_RS09410,NLN62_RS09410_363726_365286,nitrogenase molybdenum-iron protein subunit beta
NLN62_RS09415,NLN62_RS09415_365333_366836,nitrogenase molybdenum-iron protein alpha chain
NLN62_RS09420,NLN62_RS09420_366912_367803,nitrogenase iron protein
NLN62_RS09425,NLN62_RS09425_368177_368615,response regulator
NLN62_RS09430,NLN62_RS09430_369234_369429,4Fe-4S binding protein
NLN62_RS09435,NLN62_RS09435_369942_370779,SDR family oxidoreductase
NLN62_RS09440,NLN62_RS09440_370804_370987,hypothetical protein
NLN62_RS09445,NLN62_RS09445_371683_372046,hypothetical protein
NLN62_RS09450,NLN62_RS09450_372047_373454,ISNCY family transposase
NLN62_RS09455,NLN62_RS09455_373587_374397,IS5 family transposase
NLN62_RS09460,NLN62_RS09460_375374_375782,cupin domain-containing protein
NLN62_RS09465,NLN62_RS09465_375926_376456,lactate dehydrogenase
NLN62_RS09470,NLN62_RS09470_376945_377152,hypothetical protein
NLN62_RS09475,NLN62_RS09475_378051_379299,sedoheptulose 7-phosphate cyclase
NLN62_RS09480,NLN62_RS09480_379351_379609,MarR family transcriptional regulator
NLN62_RS09485,NLN62_RS09485_379649_380171,helix-turn-helix domain-containing protein
NLN62_RS09490,NLN62_RS09490_380631_381804,IS110 family transposase
NLN62_RS09495,NLN62_RS09495_381882_382455,IS630 family transposase
NLN62_RS09500,NLN62_RS09500_382584_382737,hypothetical protein
NLN62_RS09505,NLN62_RS09505_383238_383577,hypothetical protein
NLN62_RS09510,NLN62_RS09510_383762_384431,hypothetical protein
NLN62_RS09515,NLN62_RS09515_385889_386225,transposase
NLN62_RS09520,NLN62_RS09520_386450_388214,tetratricopeptide repeat protein
NLN62_RS09525,NLN62_RS09525_388232_388658,hypothetical protein
NLN62_RS09530,NLN62_RS09530_388900_389857,hypothetical protein
NLN62_RS09535,NLN62_RS09535_391172_391331,hypothetical protein
NLN62_RS09540,NLN62_RS09540_391479_392247,class I SAM-dependent methyltransferase
NLN62_RS09545,NLN62_RS09545_392359_392704,hypothetical protein
NLN62_RS09550,NLN62_RS09550_392738_393599,hypothetical protein
NLN62_RS09555,NLN62_RS09555_393784_394393,protein rhiA
NLN62_RS09560,NLN62_RS09560_394752_395787,helix-turn-helix domain-containing protein
NLN62_RS09565,NLN62_RS09565_396275_396653,hypothetical protein
NLN62_RS09570,NLN62_RS09570_396873_397347,transposase
NLN62_RS09575,NLN62_RS09575_397441_397639,hypothetical protein
NLN62_RS09580,NLN62_RS09580_399180_400005,nodulate formation efficiency C protein
NLN62_RS09585,NLN62_RS09585_400035_400353,hypothetical protein
NLN62_RS09590,NLN62_RS09590_400869_401304,hypothetical protein
NLN62_RS09595,NLN62_RS09595_403238_404573,IS5 family transposase
NLN62_RS09600,NLN62_RS09600_404862_405477,hypothetical protein
NLN62_RS09605,NLN62_RS09605_405545_405638,DUF3892 domain-containing protein
NLN62_RS09610,NLN62_RS09610_405642_405831,DUF3892 domain-containing protein
NLN62_RS09615,NLN62_RS09615_406479_406716,DUF2188 domain-containing protein
NLN62_RS09620,NLN62_RS09620_406798_407197,hypothetical protein
NLN62_RS09625,NLN62_RS09625_408317_408854,hypothetical protein
NLN62_RS09630,NLN62_RS09630_409423_411283,FAD-dependent oxidoreductase
NLN62_RS09635,NLN62_RS09635_411472_411715,hypothetical protein
