Locus_Tag_Gene,Locus_Tag,Product
NLM33_RS35160,NLM33_RS35160_138255_138489,transposase
NLM33_RS35165,NLM33_RS35165_138694_139102,hypothetical protein
NLM33_RS35170,NLM33_RS35170_139308_139881,hypothetical protein
NLM33_RS35175,NLM33_RS35175_140045_140282,hypothetical protein
NLM33_RS35180,NLM33_RS35180_140271_140544,hypothetical protein
NLM33_RS35185,NLM33_RS35185_140737_141013,helix-turn-helix domain-containing protein
NLM33_RS35190,NLM33_RS35190_140928_141477,hypothetical protein
NLM33_RS35195,NLM33_RS35195_142213_142435,hypothetical protein
NLM33_RS35200,NLM33_RS35200_143846_144333,reverse transcriptase domain-containing protein
NLM33_RS35205,NLM33_RS35205_144349_144562,transposase
NLM33_RS35210,NLM33_RS35210_145161_145515,carboxymuconolactone decarboxylase family protein
NLM33_RS35215,NLM33_RS35215_145823_146348,LysR substrate-binding domain-containing protein
NLM33_RS35220,NLM33_RS35220_146326_146725,LysR family transcriptional regulator
NLM33_RS35225,NLM33_RS35225_146846_147785,MBL fold metallo-hydrolase
NLM33_RS35230,NLM33_RS35230_149364_149604,hypothetical protein
NLM33_RS35235,NLM33_RS35235_150545_151934,methyl-accepting chemotaxis protein
NLM33_RS35240,NLM33_RS35240_152288_152729,VirK family protein
NLM33_RS35245,NLM33_RS35245_153359_154157,hypothetical protein
NLM33_RS35250,NLM33_RS35250_155789_156176,response regulator
NLM33_RS35255,NLM33_RS35255_156260_156932,response regulator
NLM33_RS35260,NLM33_RS35260_157366_157549,hypothetical protein
NLM33_RS35265,NLM33_RS35265_158931_160365,MATE family efflux transporter
NLM33_RS35270,NLM33_RS35270_160708_161143,DJ-1/PfpI family protein
NLM33_RS35275,NLM33_RS35275_161146_161431,transposase
NLM33_RS35280,NLM33_RS35280_161685_161973,type II toxin-antitoxin system ParD family antitoxin
NLM33_RS35285,NLM33_RS35285_161980_162337,type II toxin-antitoxin system RelE/ParE family toxin
NLM33_RS35295,NLM33_RS35295_162772_163099,HU family DNA-binding protein
NLM33_RS35300,NLM33_RS35300_164177_164738,DUF932 domain-containing protein
NLM33_RS35305,NLM33_RS35305_164797_165691,zincin-like metallopeptidase domain-containing protein
NLM33_RS35310,NLM33_RS35310_165691_166150,TetR family transcriptional regulator
NLM33_RS35315,NLM33_RS35315_166136_167264,hypothetical protein
NLM33_RS35320,NLM33_RS35320_167191_168001,hypothetical protein
NLM33_RS35325,NLM33_RS35325_168005_169772,site-specific integrase
NLM33_RS35330,NLM33_RS35330_169764_170907,tyrosine-type recombinase/integrase
NLM33_RS35335,NLM33_RS35335_171084_171726,DUF932 domain-containing protein
NLM33_RS35340,NLM33_RS35340_171940_172193,DNA-binding protein
NLM33_RS35345,NLM33_RS35345_172507_173482,strawberry notch family protein
NLM33_RS35350,NLM33_RS35350_173730_174786,toprim domain-containing protein
NLM33_RS35355,NLM33_RS35355_175259_175847,LuxR C-terminal-related transcriptional regulator
NLM33_RS35360,NLM33_RS35360_175892_176864,glycosyltransferase
NLM33_RS35365,NLM33_RS35365_177043_177616,"dTDP-4-dehydrorhamnose 3,5-epimerase"
NLM33_RS35370,NLM33_RS35370_178267_179275,glycosyltransferase
NLM33_RS35375,NLM33_RS35375_179667_180450,ATP-binding cassette domain-containing protein
NLM33_RS35380,NLM33_RS35380_180452_181217,ABC transporter permease
NLM33_RS35385,NLM33_RS35385_181374_183333,glycosyltransferase
NLM33_RS35390,NLM33_RS35390_183372_184245,glucose-1-phosphate thymidylyltransferase RfbA
NLM33_RS35395,NLM33_RS35395_184241_185135,dTDP-4-dehydrorhamnose reductase
NLM33_RS35400,NLM33_RS35400_185142_186186,"dTDP-glucose 4,6-dehydratase"
NLM33_RS35405,NLM33_RS35405_187571_188813,O-antigen ligase family protein
NLM33_RS35410,NLM33_RS35410_189282_191244,glycoside hydrolase family 127 protein
NLM33_RS35415,NLM33_RS35415_193648_194284,Ulp1 family isopeptidase
NLM33_RS35420,NLM33_RS35420_194696_194847,IS5/IS1182 family transposase
NLM33_RS35425,NLM33_RS35425_195110_196838,E3 ubiquitin--protein ligase
NLM33_RS35430,NLM33_RS35430_197502_197760,hypothetical protein
NLM33_RS35435,NLM33_RS35435_198022_198571,septation protein IspZ
NLM33_RS35440,NLM33_RS35440_198701_199301,nucleotidyl transferase AbiEii/AbiGii toxin family protein
NLM33_RS35445,NLM33_RS35445_200043_201906,trehalose-6-phosphate synthase
NLM33_RS35450,NLM33_RS35450_202468_203407,SLOG family protein
NLM33_RS35455,NLM33_RS35455_203685_203892,hypothetical protein
NLM33_RS35460,NLM33_RS35460_203995_204256,hypothetical protein
NLM33_RS35465,NLM33_RS35465_205352_205598,hypothetical protein
NLM33_RS35470,NLM33_RS35470_206424_206850,hypothetical protein
NLM33_RS35475,NLM33_RS35475_207407_207728,DUF736 family protein
NLM33_RS35480,NLM33_RS35480_208443_209262,calcium-binding protein
NLM33_RS35485,NLM33_RS35485_209645_210158,DUF962 domain-containing protein
NLM33_RS35490,NLM33_RS35490_210683_211649,LysR substrate-binding domain-containing protein
NLM33_RS35495,NLM33_RS35495_211816_212890,Rieske 2Fe-2S domain-containing protein
NLM33_RS35500,NLM33_RS35500_212900_213908,2Fe-2S iron-sulfur cluster-binding protein
NLM33_RS35505,NLM33_RS35505_214397_216671,hypothetical protein
NLM33_RS35510,NLM33_RS35510_217971_218292,DUF736 family protein
NLM33_RS35515,NLM33_RS35515_218397_218652,helix-turn-helix domain-containing protein
NLM33_RS35520,NLM33_RS35520_218817_219093,DUF2285 domain-containing protein
NLM33_RS35525,NLM33_RS35525_219255_219444,DUF6499 domain-containing protein
NLM33_RS35530,NLM33_RS35530_219502_220024,DUF2285 domain-containing protein
NLM33_RS35535,NLM33_RS35535_220690_221863,sulfotransferase
NLM33_RS35540,NLM33_RS35540_223160_223439,helix-turn-helix domain-containing protein
NLM33_RS35545,NLM33_RS35545_223442_224318,replication initiator protein A
NLM33_RS35550,NLM33_RS35550_224673_225132,DUF2840 domain-containing protein
NLM33_RS35555,NLM33_RS35555_225131_225638,S26 family signal peptidase
NLM33_RS35560,NLM33_RS35560_225895_226549,transglycosylase SLT domain-containing protein
NLM33_RS35565,NLM33_RS35565_226790_228521,DUF3363 domain-containing protein
NLM33_RS35570,NLM33_RS35570_228612_230589,IncP-type conjugal transfer protein TraG
NLM33_RS35575,NLM33_RS35575_230599_231049,CopG family transcriptional regulator
NLM33_RS35580,NLM33_RS35580_231856_232753,LysR family transcriptional regulator
NLM33_RS35585,NLM33_RS35585_232790_234215,PAS domain-containing protein
NLM33_RS35590,NLM33_RS35590_234301_234781,transposase
NLM33_RS35595,NLM33_RS35595_235489_236743,amino acid permease
NLM33_RS35600,NLM33_RS35600_236739_237873,radical SAM protein
NLM33_RS35605,NLM33_RS35605_238250_239330,Ulp1 family isopeptidase
NLM33_RS35610,NLM33_RS35610_239731_240087,IS66 family insertion sequence element accessory protein TnpB
NLM33_RS35615,NLM33_RS35615_240172_240643,hypothetical protein
NLM33_RS35620,NLM33_RS35620_240683_240995,hypothetical protein
NLM33_RS35625,NLM33_RS35625_241773_241956,hypothetical protein
NLM33_RS35630,NLM33_RS35630_241972_242143,DUF1508 domain-containing protein
NLM33_RS35635,NLM33_RS35635_242657_243293,hypothetical protein
NLM33_RS35640,NLM33_RS35640_243429_243846,hypothetical protein
NLM33_RS35645,NLM33_RS35645_243873_244071,helix-turn-helix domain-containing protein
NLM33_RS35650,NLM33_RS35650_244626_246330,recombinase family protein
NLM33_RS35655,NLM33_RS35655_246452_252266,AAA family ATPase
NLM33_RS35660,NLM33_RS35660_252291_252537,hypothetical protein
NLM33_RS35665,NLM33_RS35665_253169_253676,Spy/CpxP family protein refolding chaperone
NLM33_RS35670,NLM33_RS35670_253805_254162,transposase
NLM33_RS35675,NLM33_RS35675_254641_254782,hypothetical protein
NLM33_RS35680,NLM33_RS35680_255523_255808,DUF3892 domain-containing protein
NLM33_RS35685,NLM33_RS35685_255990_256497,hypothetical protein
NLM33_RS35690,NLM33_RS35690_256947_257685,hypothetical protein
NLM33_RS35695,NLM33_RS35695_259708_259873,transposase domain-containing protein
NLM33_RS35700,NLM33_RS35700_260207_260363,hypothetical protein
NLM33_RS35705,NLM33_RS35705_260355_262431,recombinase family protein
NLM33_RS35710,NLM33_RS35710_262581_264660,recombinase family protein
NLM33_RS35715,NLM33_RS35715_264640_264832,hypothetical protein
NLM33_RS35720,NLM33_RS35720_265128_265542,transposase
NLM33_RS35725,NLM33_RS35725_266115_267735,tetratricopeptide repeat protein
NLM33_RS35730,NLM33_RS35730_267877_268303,hypothetical protein
NLM33_RS35735,NLM33_RS35735_268545_269244,hypothetical protein
NLM33_RS35740,NLM33_RS35740_270003_270723,TonB family protein
NLM33_RS35745,NLM33_RS35745_270719_271154,TonB system transport protein ExbD
NLM33_RS35750,NLM33_RS35750_271160_271958,tonB-system energizer ExbB
NLM33_RS35755,NLM33_RS35755_271992_274416,TonB-dependent receptor
NLM33_RS35760,NLM33_RS35760_274540_275725,ParB N-terminal domain-containing protein
NLM33_RS35765,NLM33_RS35765_275915_276227,hypothetical protein
NLM33_RS35770,NLM33_RS35770_276352_277201,nodulate formation efficiency C protein
NLM33_RS35775,NLM33_RS35775_277633_278806,hypothetical protein
NLM33_RS35780,NLM33_RS35780_279069_279306,hypothetical protein
NLM33_RS35785,NLM33_RS35785_279302_279488,hypothetical protein
NLM33_RS35790,NLM33_RS35790_279898_280207,hypothetical protein
NLM33_RS35795,NLM33_RS35795_280272_280671,hypothetical protein
NLM33_RS35800,NLM33_RS35800_281049_281418,hypothetical protein
NLM33_RS35805,NLM33_RS35805_281420_281849,hypothetical protein
NLM33_RS35810,NLM33_RS35810_281845_282250,helix-turn-helix transcriptional regulator
NLM33_RS35815,NLM33_RS35815_282257_282518,hypothetical protein
NLM33_RS35820,NLM33_RS35820_282715_283030,hypothetical protein
NLM33_RS35825,NLM33_RS35825_283026_284133,IS5 family transposase
NLM33_RS35830,NLM33_RS35830_284666_284819,hypothetical protein
NLM33_RS35835,NLM33_RS35835_284934_285438,hypothetical protein
NLM33_RS35840,NLM33_RS35840_285430_285607,hypothetical protein
NLM33_RS35845,NLM33_RS35845_286075_286357,helix-turn-helix domain-containing protein
NLM33_RS35850,NLM33_RS35850_286808_287000,hypothetical protein
NLM33_RS35855,NLM33_RS35855_287371_287773,hypothetical protein
NLM33_RS35860,NLM33_RS35860_287772_289023,group II intron reverse transcriptase/maturase
NLM33_RS35865,NLM33_RS35865_289003_290199,IS3 family transposase
NLM33_RS35870,NLM33_RS35870_290402_291275,phosphoenolpyruvate mutase
NLM33_RS35875,NLM33_RS35875_292112_293708,type VI secretion system protein TssA
NLM33_RS35880,NLM33_RS35880_293742_294234,type VI secretion system contractile sheath small subunit
NLM33_RS35885,NLM33_RS35885_294239_295739,type VI secretion system contractile sheath large subunit
NLM33_RS35890,NLM33_RS35890_295754_296168,type VI secretion system baseplate subunit TssE
NLM33_RS35895,NLM33_RS35895_296172_297924,type VI secretion system baseplate subunit TssF
NLM33_RS35900,NLM33_RS35900_297887_298871,type VI secretion system baseplate subunit TssG
NLM33_RS35905,NLM33_RS35905_299510_301262,type VI secretion system-associated FHA domain protein TagH
NLM33_RS35910,NLM33_RS35910_301258_301765,type VI secretion system lipoprotein TssJ
NLM33_RS35915,NLM33_RS35915_301849_303214,type VI secretion system baseplate subunit TssK
NLM33_RS35920,NLM33_RS35920_303206_304088,type IVB secretion system protein IcmH/DotU
NLM33_RS35925,NLM33_RS35925_304101_307707,type VI secretion system membrane subunit TssM
NLM33_RS35930,NLM33_RS35930_307975_308914,protein kinase
NLM33_RS35935,NLM33_RS35935_309029_310511,type VI secretion system tip protein VgrG
NLM33_RS35940,NLM33_RS35940_310533_310893,hypothetical protein
NLM33_RS35945,NLM33_RS35945_311081_311594,type VI secretion system tube protein Hcp
NLM33_RS35950,NLM33_RS35950_311808_312108,hypothetical protein
NLM33_RS35955,NLM33_RS35955_312726_314160,hypothetical protein
NLM33_RS35960,NLM33_RS35960_314483_314604,IS481 family transposase
NLM33_RS35965,NLM33_RS35965_314772_316548,tetratricopeptide repeat protein
NLM33_RS35970,NLM33_RS35970_316553_317207,DUF3540 domain-containing protein
NLM33_RS35975,NLM33_RS35975_317224_318169,hypothetical protein
NLM33_RS35980,NLM33_RS35980_318200_318608,DUF4150 domain-containing protein
NLM33_RS35985,NLM33_RS35985_318611_319688,pentapeptide repeat-containing protein
NLM33_RS35990,NLM33_RS35990_319677_322797,DUF2169 domain-containing protein
NLM33_RS35995,NLM33_RS35995_323296_323467,hypothetical protein
NLM33_RS36000,NLM33_RS36000_323837_324911,Gfo/Idh/MocA family oxidoreductase
NLM33_RS36005,NLM33_RS36005_326568_327111,hypothetical protein
NLM33_RS36010,NLM33_RS36010_327158_328067,S1/P1 nuclease
NLM33_RS49380,NLM33_RS49380_328194_328419,DUF4011 domain-containing protein
NLM33_RS36025,NLM33_RS36025_329733_331470,DUF87 domain-containing protein
NLM33_RS36030,NLM33_RS36030_331466_332516,SIR2 family protein
NLM33_RS36035,NLM33_RS36035_332578_335215,AAA family ATPase
NLM33_RS36040,NLM33_RS36040_335214_336333,metallophosphoesterase
NLM33_RS36045,NLM33_RS36045_337615_337897,BrnA antitoxin family protein
NLM33_RS36050,NLM33_RS36050_337877_338128,BrnT family toxin
NLM33_RS36055,NLM33_RS36055_338752_340474,outer membrane beta-barrel protein
NLM33_RS36060,NLM33_RS36060_340561_341371,IS5 family transposase
NLM33_RS36065,NLM33_RS36065_341879_343223,IS1380 family transposase
NLM33_RS36070,NLM33_RS36070_344039_345332,insulinase family protein
NLM33_RS36075,NLM33_RS36075_345328_346702,insulinase family protein
NLM33_RS36080,NLM33_RS36080_347544_348054,hypothetical protein
NLM33_RS36085,NLM33_RS36085_348734_350417,glycosyl hydrolase family 18 protein
NLM33_RS36090,NLM33_RS36090_351249_352104,type IV toxin-antitoxin system AbiEi family antitoxin domain-containing protein
NLM33_RS36095,NLM33_RS36095_352107_352473,hypothetical protein
NLM33_RS36100,NLM33_RS36100_353813_354071,MarR family transcriptional regulator
NLM33_RS36105,NLM33_RS36105_354111_354660,IS630 family transposase
NLM33_RS36110,NLM33_RS36110_354876_355830,IS481 family transposase
NLM33_RS36115,NLM33_RS36115_355835_356330,IS110 family transposase
NLM33_RS36120,NLM33_RS36120_356407_356833,IS630 family transposase
NLM33_RS49385,NLM33_RS49385_357580_357706,hypothetical protein
NLM33_RS36125,NLM33_RS36125_358732_359449,tyrosine-type recombinase/integrase
NLM33_RS36130,NLM33_RS36130_359484_359940,hypothetical protein
NLM33_RS36135,NLM33_RS36135_359932_360169,hypothetical protein
NLM33_RS36140,NLM33_RS36140_360656_360977,integration host factor subunit beta
NLM33_RS36145,NLM33_RS36145_363011_368882,AAA family ATPase
NLM33_RS36150,NLM33_RS36150_368943_369103,IS3 family transposase
NLM33_RS36155,NLM33_RS36155_369482_370508,IS110 family transposase
NLM33_RS36160,NLM33_RS36160_371096_372665,S8 family serine peptidase
NLM33_RS36165,NLM33_RS36165_373240_374242,AAA family ATPase
NLM33_RS36170,NLM33_RS36170_374799_374886,transcriptional regulator
NLM33_RS36175,NLM33_RS36175_374910_375297,helix-turn-helix domain-containing protein
NLM33_RS36180,NLM33_RS36180_375459_376563,DUF4172 domain-containing protein
NLM33_RS36185,NLM33_RS36185_376655_377072,hypothetical protein
NLM33_RS36190,NLM33_RS36190_378628_379012,hypothetical protein
NLM33_RS36195,NLM33_RS36195_379407_380775,condensation domain-containing protein
NLM33_RS36200,NLM33_RS36200_380803_382051,MFS transporter
NLM33_RS36205,NLM33_RS36205_382047_382989,sulfotransferase
NLM33_RS36210,NLM33_RS36210_383018_384329,aminotransferase class III-fold pyridoxal phosphate-dependent enzyme
NLM33_RS36215,NLM33_RS36215_384356_385871,GMC oxidoreductase
NLM33_RS36220,NLM33_RS36220_386413_386833,gamma-glutamylcyclotransferase
NLM33_RS36225,NLM33_RS36225_387179_388046,radical SAM protein
NLM33_RS36230,NLM33_RS36230_389454_389691,YopT-type cysteine protease domain-containing protein
NLM33_RS36235,NLM33_RS36235_389671_390100,YopT-type cysteine protease domain-containing protein
NLM33_RS36240,NLM33_RS36240_390688_390972,transposase
NLM33_RS36245,NLM33_RS36245_391452_392499,IS630 family transposase
NLM33_RS36250,NLM33_RS36250_392906_394718,trehalose-6-phosphate synthase
NLM33_RS36255,NLM33_RS36255_395090_396276,IS3 family transposase
NLM33_RS36260,NLM33_RS36260_396407_396540,IS5/IS1182 family transposase
NLM33_RS36265,NLM33_RS36265_396637_396814,hypothetical protein
NLM33_RS36270,NLM33_RS36270_396940_397416,transposase
NLM33_RS36275,NLM33_RS36275_397705_398749,IS110 family transposase
NLM33_RS36280,NLM33_RS36280_398829_399429,transposase
NLM33_RS36285,NLM33_RS36285_399850_401077,IS91 family transposase
NLM33_RS36290,NLM33_RS36290_401098_401959,tyrosine-type recombinase/integrase
NLM33_RS36295,NLM33_RS36295_402534_403920,group II intron reverse transcriptase/maturase
NLM33_RS36300,NLM33_RS36300_404565_404811,TIGR02391 family protein
