Locus_Tag_Gene,Locus_Tag,Product
NLM27_RS25340,NLM27_RS25340_148307_148699,IS630 family transposase
NLM27_RS25345,NLM27_RS25345_149403_151284,sulfate adenylyltransferase subunit CysN
NLM27_RS25350,NLM27_RS25350_151283_152183,sulfate adenylyltransferase subunit CysD
NLM27_RS25355,NLM27_RS25355_152418_153687,sulfotransferase
NLM27_RS25360,NLM27_RS25360_155476_155791,co-chaperone GroES
NLM27_RS25365,NLM27_RS25365_155876_157526,chaperonin GroEL
NLM27_RS25370,NLM27_RS25370_158055_158565,hypothetical protein
NLM27_RS25375,NLM27_RS25375_158907_161028,prolyl oligopeptidase family serine peptidase
NLM27_RS25380,NLM27_RS25380_162027_162765,carbonic anhydrase
NLM27_RS25385,NLM27_RS25385_164134_164782,FkbM family methyltransferase
NLM27_RS25390,NLM27_RS25390_167131_167386,hypothetical protein
NLM27_RS25395,NLM27_RS25395_169522_171847,5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase
NLM27_RS25400,NLM27_RS25400_172264_172891,IS5 family transposase
NLM27_RS25405,NLM27_RS25405_173408_174227,SDR family oxidoreductase
NLM27_RS25410,NLM27_RS25410_174403_176227,nif-specific transcriptional activator NifA
NLM27_RS25415,NLM27_RS25415_176882_177719,electron transfer flavoprotein subunit beta/FixA family protein
NLM27_RS25420,NLM27_RS25420_178328_179252,NAD(P)-binding domain-containing protein
NLM27_RS25425,NLM27_RS25425_179251_179932,HAD hydrolase-like protein
NLM27_RS25430,NLM27_RS25430_179939_181529,hypothetical protein
NLM27_RS25435,NLM27_RS25435_183486_183669,hypothetical protein
NLM27_RS25440,NLM27_RS25440_186221_187193,nodulation protein NodZ
NLM27_RS25445,NLM27_RS25445_187476_189552,carbamoyltransferase
NLM27_RS25450,NLM27_RS25450_189856_190645,ABC transporter permease
NLM27_RS25455,NLM27_RS25455_190648_191563,nodulation factor ABC transporter ATP-binding protein NodI
NLM27_RS25460,NLM27_RS25460_191570_193280,nodulation protein NodU
NLM27_RS25465,NLM27_RS25465_193306_193918,methyltransferase domain-containing protein
NLM27_RS25470,NLM27_RS25470_193950_195309,chitooligosaccharide synthase NodC
NLM27_RS25475,NLM27_RS25475_195321_195927,chitooligosaccharide deacetylase NodB
NLM27_RS25480,NLM27_RS25480_195977_196571,NodA family N-acyltransferase
NLM27_RS25485,NLM27_RS25485_197285_198230,transcriptional regulator NodD1
NLM27_RS25490,NLM27_RS25490_198819_199830,LysR family transcriptional regulator
NLM27_RS25495,NLM27_RS25495_200433_201147,MerR family transcriptional regulator
NLM27_RS25500,NLM27_RS25500_202383_202851,NolY
NLM27_RS25505,NLM27_RS25505_203618_204338,outer membrane beta-barrel protein
NLM27_RS25510,NLM27_RS25510_205214_206477,MFS transporter
NLM27_RS25515,NLM27_RS25515_206828_207572,autoinducer binding domain-containing protein
NLM27_RS25520,NLM27_RS25520_208438_209161,hypothetical protein
NLM27_RS25525,NLM27_RS25525_211262_212594,oxygen-independent coproporphyrinogen III oxidase
NLM27_RS25530,NLM27_RS25530_213649_215221,carbohydrate porin
NLM27_RS25535,NLM27_RS25535_215726_216806,pectinesterase family protein
NLM27_RS25540,NLM27_RS25540_216927_218223,glycosyl hydrolase family 28 protein
NLM27_RS25545,NLM27_RS25545_218237_218447,hypothetical protein
NLM27_RS25550,NLM27_RS25550_218584_219304,transposase
NLM27_RS25555,NLM27_RS25555_220103_220445,hypothetical protein
NLM27_RS25560,NLM27_RS25560_220730_221972,cytochrome P450
NLM27_RS25565,NLM27_RS25565_222835_223135,VirK family protein
NLM27_RS25570,NLM27_RS25570_224808_225969,DUF2220 family protein
NLM27_RS25575,NLM27_RS25575_225998_227096,acyltransferase family protein
NLM27_RS25580,NLM27_RS25580_227861_228122,hypothetical protein
NLM27_RS25585,NLM27_RS25585_229771_230752,phosphoenolpyruvate mutase
NLM27_RS25590,NLM27_RS25590_231043_231847,NTP transferase domain-containing protein
NLM27_RS25595,NLM27_RS25595_231853_232459,CDP-alcohol phosphatidyltransferase family protein
NLM27_RS25600,NLM27_RS25600_232663_233773,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
NLM27_RS25605,NLM27_RS25605_236540_237545,LysR substrate-binding domain-containing protein
NLM27_RS25610,NLM27_RS25610_237535_237886,DUF3088 family protein
NLM27_RS25615,NLM27_RS25615_237899_239078,hypothetical protein
NLM27_RS25620,NLM27_RS25620_239319_241551,tetratricopeptide repeat protein
NLM27_RS25625,NLM27_RS25625_242358_242835,Lrp/AsnC ligand binding domain-containing protein
NLM27_RS25630,NLM27_RS25630_243438_244590,glycoside hydrolase family 88 protein
NLM27_RS25635,NLM27_RS25635_244655_246002,MFS transporter
NLM27_RS25640,NLM27_RS25640_246114_246900,enoyl-CoA hydratase-related protein
NLM27_RS25645,NLM27_RS25645_246919_247636,enoyl-CoA hydratase/isomerase family protein
NLM27_RS25650,NLM27_RS25650_247697_249293,3-oxoacid CoA-transferase
NLM27_RS25655,NLM27_RS25655_249593_250643,substrate-binding domain-containing protein
NLM27_RS25660,NLM27_RS25660_250953_251883,dihydrodipicolinate synthase family protein
NLM27_RS25665,NLM27_RS25665_251976_253452,aldehyde dehydrogenase family protein
NLM27_RS25670,NLM27_RS25670_253509_254529,substrate-binding domain-containing protein
NLM27_RS25675,NLM27_RS25675_254805_255459,hypothetical protein
NLM27_RS25680,NLM27_RS25680_255455_256079,c-type cytochrome
NLM27_RS25685,NLM27_RS25685_256142_257861,"PQQ-dependent dehydrogenase, methanol/ethanol family"
NLM27_RS25690,NLM27_RS25690_258000_260325,molybdopterin-dependent oxidoreductase
NLM27_RS25695,NLM27_RS25695_260327_260780,2Fe-2S iron-sulfur cluster-binding protein
NLM27_RS25700,NLM27_RS25700_262371_263097,FkbM family methyltransferase
NLM27_RS25705,NLM27_RS25705_263748_263868,TRAP transporter large permease subunit
NLM27_RS25710,NLM27_RS25710_263913_265623,outer membrane beta-barrel protein
NLM27_RS25715,NLM27_RS25715_266286_267789,alkaline phosphatase family protein
NLM27_RS25720,NLM27_RS25720_268667_269960,MATE family efflux transporter
NLM27_RS25725,NLM27_RS25725_271435_271858,hypothetical protein
NLM27_RS25730,NLM27_RS25730_271957_272070,cold shock domain-containing protein
NLM27_RS25735,NLM27_RS25735_272816_272990,hypothetical protein
NLM27_RS25740,NLM27_RS25740_273119_273511,type II toxin-antitoxin system HicB family antitoxin
NLM27_RS25745,NLM27_RS25745_273563_273724,type II toxin-antitoxin system HicA family toxin
NLM27_RS25750,NLM27_RS25750_274029_275565,porin
NLM27_RS25755,NLM27_RS25755_275676_275814,hypothetical protein
NLM27_RS25760,NLM27_RS25760_276843_277641,ABC transporter permease subunit
NLM27_RS25765,NLM27_RS25765_277725_278658,ABC transporter permease subunit
NLM27_RS25770,NLM27_RS25770_278657_279653,ATP-binding cassette domain-containing protein
NLM27_RS25775,NLM27_RS25775_279649_280660,ATP-binding cassette domain-containing protein
NLM27_RS25780,NLM27_RS25780_280709_282287,ABC transporter substrate-binding protein
NLM27_RS25785,NLM27_RS25785_282691_283891,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
NLM27_RS25790,NLM27_RS25790_283902_284775,isocitrate lyase/phosphoenolpyruvate mutase family protein
NLM27_RS25795,NLM27_RS25795_284883_285048,hypothetical protein
NLM27_RS25800,NLM27_RS25800_285122_286031,LysR family transcriptional regulator
NLM27_RS25805,NLM27_RS25805_286240_286777,DUF2285 domain-containing protein
NLM27_RS25810,NLM27_RS25810_287188_287476,DUF2285 domain-containing protein
NLM27_RS25815,NLM27_RS25815_287895_288177,helix-turn-helix domain-containing protein
NLM27_RS25820,NLM27_RS25820_289147_290803,class I tRNA ligase family protein
NLM27_RS25825,NLM27_RS25825_290879_292022,MFS transporter
NLM27_RS25830,NLM27_RS25830_292049_293405,SidA/IucD/PvdA family monooxygenase
NLM27_RS25835,NLM27_RS25835_293413_293755,cupin domain-containing protein
NLM27_RS25840,NLM27_RS25840_293751_294840,FAD-dependent oxidoreductase
NLM27_RS25845,NLM27_RS25845_294851_296003,alanine racemase
NLM27_RS25850,NLM27_RS25850_296014_296719,hypothetical protein
NLM27_RS25855,NLM27_RS25855_297276_297558,helix-turn-helix domain-containing protein
NLM27_RS25860,NLM27_RS25860_298349_298601,hypothetical protein
NLM27_RS25865,NLM27_RS25865_299188_300529,aspartate aminotransferase family protein
NLM27_RS25870,NLM27_RS25870_301467_303900,CoA transferase
NLM27_RS25875,NLM27_RS25875_304259_305048,3-oxoacyl-ACP reductase FabG
NLM27_RS25880,NLM27_RS25880_305232_306513,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
NLM27_RS25885,NLM27_RS25885_307911_308031,transposase
NLM27_RS25890,NLM27_RS25890_308219_308399,integrase
NLM27_RS25895,NLM27_RS25895_309544_309955,IS66 family transposase zinc-finger binding domain-containing protein
NLM27_RS25900,NLM27_RS25900_310880_311117,hypothetical protein
NLM27_RS25905,NLM27_RS25905_311165_313628,CoA transferase
NLM27_RS25910,NLM27_RS25910_315557_315668,IS5/IS1182 family transposase
NLM27_RS25915,NLM27_RS25915_316251_317316,D-alanine--D-alanine ligase
NLM27_RS25920,NLM27_RS25920_317801_318877,IS110 family transposase
NLM27_RS25925,NLM27_RS25925_319241_319454,hypothetical protein
NLM27_RS25930,NLM27_RS25930_320262_321034,integrase core domain-containing protein
NLM27_RS25935,NLM27_RS25935_321785_322668,TauD/TfdA family dioxygenase
NLM27_RS25940,NLM27_RS25940_322937_323738,ATP-binding cassette domain-containing protein
NLM27_RS25945,NLM27_RS25945_323734_324553,ABC transporter permease
NLM27_RS25950,NLM27_RS25950_324652_324787,chemotaxis protein CheW
NLM27_RS25955,NLM27_RS25955_324809_324941,hemolysin III family protein
NLM27_RS25960,NLM27_RS25960_325137_326028,enoyl-CoA hydratase-related protein
NLM27_RS25965,NLM27_RS25965_326070_327333,diaminobutyrate--2-oxoglutarate transaminase
NLM27_RS25970,NLM27_RS25970_327584_328410,IS3 family transposase
NLM27_RS25975,NLM27_RS25975_328867_329575,hypothetical protein
NLM27_RS25980,NLM27_RS25980_329852_330127,IS3 family transposase
NLM27_RS25985,NLM27_RS25985_330137_330437,hypothetical protein
NLM27_RS25990,NLM27_RS25990_332061_333396,NtaA/DmoA family FMN-dependent monooxygenase
NLM27_RS25995,NLM27_RS25995_333367_334301,IS481 family transposase
NLM27_RS26000,NLM27_RS26000_334920_335490,DDE-type integrase/transposase/recombinase
NLM27_RS26005,NLM27_RS26005_335536_335743,transposase
NLM27_RS26010,NLM27_RS26010_335796_336966,M24 family metallopeptidase
NLM27_RS26015,NLM27_RS26015_337913_338084,transposase
NLM27_RS26020,NLM27_RS26020_338453_339272,enoyl-CoA hydratase-related protein
NLM27_RS26025,NLM27_RS26025_340556_341405,thioesterase family protein
NLM27_RS26030,NLM27_RS26030_341389_341767,hypothetical protein
NLM27_RS26035,NLM27_RS26035_342000_342132,oxidoreductase
NLM27_RS26040,NLM27_RS26040_343315_343513,hypothetical protein
NLM27_RS26045,NLM27_RS26045_344729_345005,hypothetical protein
NLM27_RS26050,NLM27_RS26050_345134_346103,hypothetical protein
NLM27_RS26055,NLM27_RS26055_346331_346508,hypothetical protein
NLM27_RS26060,NLM27_RS26060_347366_347522,hypothetical protein
NLM27_RS26065,NLM27_RS26065_347800_348328,hypothetical protein
NLM27_RS26070,NLM27_RS26070_348778_348877,transposase
NLM27_RS26075,NLM27_RS26075_349793_350957,M24 family metallopeptidase
NLM27_RS26080,NLM27_RS26080_351928_353040,IS30 family transposase
NLM27_RS26085,NLM27_RS26085_353501_353834,hypothetical protein
NLM27_RS26090,NLM27_RS26090_355712_356276,transposase
NLM27_RS26095,NLM27_RS26095_356287_357012,transposase
NLM27_RS26100,NLM27_RS26100_356995_357175,hypothetical protein
NLM27_RS26105,NLM27_RS26105_357398_357755,hypothetical protein
NLM27_RS26110,NLM27_RS26110_358279_358483,ATP-binding cassette domain-containing protein
NLM27_RS26115,NLM27_RS26115_358660_358780,hypothetical protein
NLM27_RS26120,NLM27_RS26120_359270_360133,ABC transporter permease
NLM27_RS26125,NLM27_RS26125_360129_361084,ABC transporter permease
NLM27_RS26130,NLM27_RS26130_361149_361359,hypothetical protein
NLM27_RS26135,NLM27_RS26135_362895_364197,FAD-dependent oxidoreductase
NLM27_RS26140,NLM27_RS26140_364750_365102,RidA family protein
NLM27_RS26145,NLM27_RS26145_366461_366845,molybdopterin-dependent oxidoreductase
NLM27_RS26150,NLM27_RS26150_367011_367548,molybdopterin-dependent oxidoreductase
NLM27_RS26155,NLM27_RS26155_368081_368912,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD
NLM27_RS26160,NLM27_RS26160_368986_369871,formyltetrahydrofolate deformylase
NLM27_RS26165,NLM27_RS26165_369897_370820,electron transfer flavoprotein subunit alpha/FixB family protein
NLM27_RS26170,NLM27_RS26170_370847_371568,electron transfer flavoprotein subunit beta/FixA family protein
NLM27_RS26175,NLM27_RS26175_371787_374229,FAD-dependent oxidoreductase
NLM27_RS26180,NLM27_RS26180_374545_374824,hypothetical protein
NLM27_RS26185,NLM27_RS26185_375544_377062,porin
NLM27_RS26190,NLM27_RS26190_377528_378011,MarR family transcriptional regulator
NLM27_RS26195,NLM27_RS26195_378144_379149,alpha/beta hydrolase
NLM27_RS26200,NLM27_RS26200_379944_380231,3-hydroxyacyl-CoA dehydrogenase family protein
NLM27_RS26205,NLM27_RS26205_380251_381475,IS3 family transposase
NLM27_RS26210,NLM27_RS26210_382087_382403,3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein
NLM27_RS26215,NLM27_RS26215_382548_382821,hypothetical protein
NLM27_RS26220,NLM27_RS26220_382874_383099,enoyl-CoA hydratase-related protein
NLM27_RS26225,NLM27_RS26225_383914_385174,serine hydrolase
NLM27_RS26230,NLM27_RS26230_385994_387587,ABC transporter substrate-binding protein
NLM27_RS26235,NLM27_RS26235_389786_390761,3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein
NLM27_RS26240,NLM27_RS26240_391384_392437,extracellular solute-binding protein
NLM27_RS26245,NLM27_RS26245_392898_394179,serine hydrolase
NLM27_RS26250,NLM27_RS26250_394460_396056,ABC transporter substrate-binding protein
NLM27_RS26255,NLM27_RS26255_397299_398331,dipeptide ABC transporter ATP-binding protein
NLM27_RS26260,NLM27_RS26260_398327_399332,ATP-binding cassette domain-containing protein
NLM27_RS26265,NLM27_RS26265_399333_400215,ABC transporter permease subunit
NLM27_RS26270,NLM27_RS26270_400216_401158,ABC transporter permease subunit
NLM27_RS26275,NLM27_RS26275_402053_402383,hypothetical protein
NLM27_RS26280,NLM27_RS26280_402379_402607,3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein
NLM27_RS26285,NLM27_RS26285_404215_404659,acetate--CoA ligase family protein
NLM27_RS26290,NLM27_RS26290_404693_404963,hypothetical protein
NLM27_RS26295,NLM27_RS26295_405299_405626,hypothetical protein
NLM27_RS26300,NLM27_RS26300_405796_406075,CoA-binding protein
NLM27_RS26305,NLM27_RS26305_407012_407435,MBL fold metallo-hydrolase
NLM27_RS26310,NLM27_RS26310_407682_408114,IS66 family transposase
NLM27_RS26315,NLM27_RS26315_408448_409201,hypothetical protein
NLM27_RS26320,NLM27_RS26320_409298_409769,cupin domain-containing protein
NLM27_RS26325,NLM27_RS26325_410989_412159,M24 family metallopeptidase
NLM27_RS43630,NLM27_RS43630_413679_413808,hypothetical protein
NLM27_RS26330,NLM27_RS26330_413976_414801,ABC transporter permease subunit
NLM27_RS26335,NLM27_RS26335_414810_415623,ABC transporter permease subunit
NLM27_RS26340,NLM27_RS26340_415698_416889,ATP-binding cassette domain-containing protein
NLM27_RS26345,NLM27_RS26345_417835_419482,IS66 family transposase
NLM27_RS26350,NLM27_RS26350_419553_419712,transposase
NLM27_RS26355,NLM27_RS26355_419722_419899,IS66 family insertion sequence element accessory protein TnpB
NLM27_RS26360,NLM27_RS26360_419895_420321,transposase
NLM27_RS26365,NLM27_RS26365_420380_420584,transposase
NLM27_RS26370,NLM27_RS26370_420629_420955,IS66 family insertion sequence element accessory protein TnpB
NLM27_RS43635,NLM27_RS43635_421204_421468,transposase
NLM27_RS26380,NLM27_RS26380_421457_422627,M24 family metallopeptidase
NLM27_RS26385,NLM27_RS26385_423260_424397,DUF2817 domain-containing protein
NLM27_RS26390,NLM27_RS26390_424558_425383,SDR family oxidoreductase
NLM27_RS26395,NLM27_RS26395_425379_426390,LLM class flavin-dependent oxidoreductase
NLM27_RS26400,NLM27_RS26400_426933_428256,fumarylacetoacetase
NLM27_RS26405,NLM27_RS26405_428389_429181,3-hydroxybutyrate dehydrogenase
NLM27_RS26410,NLM27_RS26410_429596_430991,aminotransferase
NLM27_RS26415,NLM27_RS26415_431001_432381,aldehyde dehydrogenase family protein
NLM27_RS26420,NLM27_RS26420_432672_433149,Lrp/AsnC ligand binding domain-containing protein
NLM27_RS26425,NLM27_RS26425_433549_434116,integrase core domain-containing protein
NLM27_RS26430,NLM27_RS26430_434171_434387,hypothetical protein
NLM27_RS26435,NLM27_RS26435_434666_436322,MFS transporter
NLM27_RS26440,NLM27_RS26440_437501_438644,pimeloyl-CoA dehydrogenase small subunit
NLM27_RS26445,NLM27_RS26445_438710_439898,pimeloyl-CoA dehydrogenase large subunit
NLM27_RS26450,NLM27_RS26450_441197_441500,hypothetical protein
NLM27_RS26455,NLM27_RS26455_441474_441804,hypothetical protein
NLM27_RS26460,NLM27_RS26460_442990_444049,phosphotransferase
NLM27_RS26465,NLM27_RS26465_444909_445782,thioesterase family protein
NLM27_RS26470,NLM27_RS26470_446249_447098,thioesterase family protein
NLM27_RS26475,NLM27_RS26475_447770_448528,IS5 family transposase
NLM27_RS26480,NLM27_RS26480_449018_449879,MaoC/PaaZ C-terminal domain-containing protein
NLM27_RS26485,NLM27_RS26485_450847_452659,ABC transporter ATP-binding protein/permease
NLM27_RS26490,NLM27_RS26490_452666_452813,hypothetical protein
NLM27_RS26495,NLM27_RS26495_453805_455200,FAD-binding protein
